ID	PC	ContaminatingSample	IntendedSample
1002730	4	0.0384033	0.0109845
1002806	1	-0.0393049	-0.0166058
1002806	2	-0.00252174	-0.0312737
1002806	3	0.0294682	-0.00528737
1002806	4	0.0637851	0.0129509
1003028	1	-0.447151	-0.016398
1003028	2	-0.302582	-0.0307305
1003028	3	0.586255	-0.00435784
1003028	4	0.600321	0.0114606
1006061	1	0.0637415	-0.0164685
1006061	2	-0.174781	-0.032371
1006061	3	0.172485	-0.00359891
1006061	4	-0.590895	0.014333
1006189	1	-0.0145631	-0.0165976
1006189	2	-0.0344631	-0.0320367
1006189	3	-0.0374591	-0.00711814
1006189	4	0.0214194	0.0127835
1006194	1	-0.0835271	-0.0165828
1006194	2	-0.0839753	-0.0313181
1006194	3	0.027152	-0.00401742
1006194	4	-0.0408592	0.0160267
1006204	1	-0.0189696	-0.0159296
1006204	2	-0.0344963	-0.0315346
1006204	3	-0.0152743	-0.00371278
1006204	4	-0.0258727	0.0154516
1006307	1	-0.0538227	-0.0164009
1006307	2	-0.33814	-0.0315535
1006307	3	-0.159614	-0.0057303
1006307	4	-0.200441	0.0145176
1006464	1	-0.0108885	-0.0160486
1006464	2	-0.0233272	-0.0315019
1006464	3	0.0543343	-0.00294881
1006464	4	0.0576948	0.0154362
1006683	1	-0.017746	-0.0162774
1006683	2	-0.00974109	-0.0310613
1006683	3	0.00598116	-0.00476384
1006683	4	-0.00467423	0.0136975
1006739	1	-0.00864393	-0.0162189
1006739	2	-0.0374458	-0.0322335
1006739	3	0.022732	-0.00612162
1006739	4	-0.000472197	0.0119046
1006749	1	-0.0207301	-0.0163661
1006749	2	-0.0404345	-0.031319
1006749	3	-0.00899968	-0.00344816
1006749	4	0.0284703	0.0128001
1006900	1	-0.0034058	-0.0164367
1006900	2	-0.0134642	-0.0317453
1006900	3	-0.085228	-0.00730834
1006900	4	-0.0193884	0.0121096
1006999	1	-0.0192659	-0.0164251
1006999	2	-0.00942157	-0.032241
1006999	3	-0.00205028	-0.00234121
1006999	4	0.0275791	0.0158489
1007120	1	-0.0131915	-0.0162286
1007120	2	-0.0118224	-0.0303579
1007120	3	-0.116541	-0.0024619
1007120	4	0.152852	0.0118109
1007170	1	-0.0230461	-0.0165172
1007170	2	-0.0748469	-0.0313453
1007170	3	-0.073722	-0.00422261
1007170	4	-0.0619502	0.0131669
1007607	1	-0.0123533	-0.0160779
1007607	2	-0.0269836	-0.0316694
1007607	3	-0.00699387	-0.00509586
1007607	4	0.015449	0.0132008
1007633	1	-0.0227787	-0.0162264
1007633	2	-0.0949797	-0.031138
1007633	3	-0.104824	-0.00263642
1007633	4	0.0703973	0.0138876
1007642	1	-0.0222896	-0.0163343
1007642	2	-0.041282	-0.0311518
1007642	3	-0.0293178	-0.00211616
1007642	4	0.0100103	0.0160253
1007647	1	-0.0377395	-0.0162004
1007647	2	-0.0240331	-0.0313832
1007647	3	0.0499706	-0.00409558
1007647	4	-0.0142127	0.0126355
1009658	1	-0.0240791	-0.0160885
1009658	2	-0.000265039	-0.0312334
1009658	3	-0.13381	-0.00501317
1009658	4	-0.0580173	0.0098944
1009684	1	-0.0127089	-0.0165828
1009684	2	-0.0302467	-0.0313533
1009684	3	-0.040597	-0.00509533
1009684	4	0.0043068	0.0151929
1009700	1	-0.017508	-0.0160064
1009700	2	-0.047655	-0.0318173
1009700	3	0.0125016	-0.00404679
1009700	4	0.0342174	0.0137489
1009704	1	-0.0119076	-0.016477
1009704	2	-0.0326985	-0.0314761
1009704	3	-0.0153147	-0.00754182
1009704	4	0.0248519	0.00968996
1009782	1	-0.164181	-0.0165614
1009782	2	-0.217639	-0.0306304
1009782	3	0.174411	-0.00582179
1009782	4	0.466281	0.0129124
1009784	1	-0.0025792	-0.0164728
1009784	2	-0.0323607	-0.0308198
1009784	3	-0.121757	-0.00480654
1009784	4	-0.000660046	0.0115705
1009796	1	-0.0524547	-0.0165288
1009796	2	-0.0788389	-0.0317295
1009796	3	-0.0828572	-0.00419426
1009796	4	0.088641	0.0151642
1009802	1	-0.0185423	-0.0160628
1009802	2	-0.0395905	-0.0307328
1009802	3	-0.0198789	-0.00442372
1009802	4	-0.0117132	0.0123336
1009812	1	-0.0207894	-0.0162964
1009812	2	-0.02372	-0.0320761
1009812	3	-0.0169198	-0.00242128
1009812	4	0.0259928	0.0141103
102YWC	1	-0.00720112	-0.0164492
102YWC	2	-0.00370795	-0.0332149
102YWC	3	-0.00075473	-0.00571943
102YWC	4	-0.0388768	0.0159796
107FJW	1	-0.00637236	-0.0163705
107FJW	2	0.000375547	-0.03262
107FJW	3	0.00810602	0.000433125
107FJW	4	0.015927	0.0194733
1138837	1	0.00654059	-0.016216
1138837	2	-0.0704105	-0.0322515
1138837	3	0.00650126	-0.00517718
1138837	4	0.02195	0.013492
1138912	1	0.00893571	-0.0162962
1138912	2	-0.0329536	-0.0319471
1138912	3	0.133066	-0.00252509
1138912	4	0.0980937	0.014014
1139281	1	-0.163912	-0.016473
1139281	2	-0.137263	-0.0326556
1139281	3	-0.00472996	-0.00577631
1139281	4	-0.00587651	0.0150387
1139354	1	-0.0207253	-0.0162241
1139354	2	-0.0253756	-0.0315937
1139354	3	-0.0354213	-0.00400476
1139354	4	-0.0109035	0.0110603
1139461	1	-0.0147062	-0.0165208
1139461	2	-0.00556498	-0.0319104
1139461	3	-0.0234261	-0.0039067
1139461	4	-0.082084	0.015386
1139606	1	-2.90264	-0.0162296
1139606	2	-8.95561	-0.0308425
1139606	3	9.94364	-0.00301894
1139606	4	4.13065	0.0125726
1139929	1	-0.0137477	-0.0164279
1139929	2	-0.0690652	-0.0317458
1139929	3	0.121402	-0.00611707
1139929	4	0.0373238	0.0129964
1139962	1	-0.0289573	-0.016028
1139962	2	-0.0421317	-0.0311228
1139962	3	0.00275433	-0.00410804
1139962	4	-0.00842802	0.00966489
1140048	1	-0.0369421	-0.0161492
1140048	2	-0.0579905	-0.0313937
1140048	3	-0.0396837	-0.00210976
1140048	4	3.60286e-05	0.0140647
1140464	1	-0.0348398	-0.0162221
1140464	2	-0.0843807	-0.0311704
1140464	3	-0.0335344	-0.00258129
1140464	4	-0.0240764	0.0111918
1140557	1	-0.15236	-0.0163259
1140557	2	0.0433367	-0.0313828
1140557	3	0.108091	-0.0030054
1140557	4	-0.240187	0.0139875
1196221	1	-0.0351547	-0.016491
1196221	2	0.00271673	-0.0311148
1196221	3	0.0728866	-0.00364648
1196221	4	0.118976	0.0132422
1196256	1	-0.0207622	-0.0163232
1196256	2	-0.0487587	-0.0325306
1196256	3	0.00231701	-0.00526559
1196256	4	0.0221366	0.0140328
1196905	1	0.00990766	-0.0163375
1196905	2	-0.0284231	-0.0314879
1196905	3	0.0371909	-0.00297152
1196905	4	-0.075215	0.0139823
1197024	1	-0.0234152	-0.0164756
1197024	2	-0.0542654	-0.0317047
1197024	3	-0.0696822	-0.00489955
1197024	4	-0.0164783	0.0115235
1199393	1	-0.00214834	-0.0164432
1199393	2	-0.0340702	-0.0321785
1199393	3	-0.0415381	-0.00409725
1199393	4	0.0403759	0.0141802
1199524	1	1.77237	-0.0165433
1199524	2	0.24222	-0.0310831
1199524	3	-2.74676	-0.00547687
1199524	4	-2.26556	0.014293
1199767	1	-0.06813	-0.016416
1199767	2	-0.0870259	-0.0313419
1199767	3	-0.0214709	-0.0025103
1199767	4	-0.102176	0.0150607
1199840	1	-0.0299513	-0.0165047
1199840	2	0.0592859	-0.0313728
1199840	3	-0.043497	-0.00481277
1199840	4	0.233629	0.0133665
119SZX	1	-0.00236715	-0.0167129
119SZX	2	-0.0091188	-0.0320698
119SZX	3	0.00921103	-0.00417465
119SZX	4	-0.00447685	0.015289
1200084	1	-0.0092198	-0.0164431
1200084	2	-0.0324669	-0.0307972
1200084	3	0.198548	-0.0041952
1200084	4	-0.159853	0.0134369
1200524	1	-0.0303683	-0.0162843
1200524	2	-0.118639	-0.0313192
1200524	3	0.029363	-0.00318142
1200524	4	0.472508	0.0135169
1200618	1	-0.0281268	-0.0163632
1200618	2	-0.0399387	-0.0306608
1200618	3	0.00565679	-0.00175483
1200618	4	-0.00521252	0.0145515
1200709	1	-0.0215087	-0.0163475
1200709	2	-0.0104672	-0.0318325
1200709	3	0.0100701	-0.00539473
1200709	4	-0.0174434	0.0136881
1200900	1	-0.0117829	-0.0161487
1200900	2	-0.0617001	-0.0311403
1200900	3	0.0144054	-0.00420739
1200900	4	0.0220498	0.0106589
1201142	1	-0.0182856	-0.0164606
1201142	2	-0.0358132	-0.0317951
1201142	3	-0.000748308	-0.00583602
1201142	4	-0.0061829	0.0121234
1201536	1	0.00440525	-0.0164535
1201536	2	-0.0410627	-0.0310954
1201536	3	-0.0377337	-0.00419533
1201536	4	0.0372282	0.0137754
1201570	1	-0.0201035	-0.0163931
1201570	2	-0.0340656	-0.0312198
1201570	3	-0.0104077	-0.00533094
1201570	4	0.0136527	0.010733
1201606	1	-0.0511732	-0.0164946
1201606	2	-0.138933	-0.0315873
1201606	3	0.0960832	-0.00388196
1201606	4	0.0505093	0.0143115
1201631	1	-0.0393142	-0.0165152
1201631	2	-0.127945	-0.0311639
1201631	3	-0.0145443	-0.00431774
1201631	4	-0.0592269	0.0148857
1206666	1	-0.0641146	-0.0161571
1206666	2	0.0155905	-0.0320365
1206666	3	-0.0521807	-0.0022029
1206666	4	-0.012909	0.0153926
1206844	1	-2.35733	-0.0170396
1206844	2	-2.46862	-0.0317535
1206844	3	2.2966	-0.000323258
1206844	4	1.74125	0.012202
1206992	1	-0.0128845	-0.0165168
1206992	2	-0.126154	-0.0316119
1206992	3	-0.112967	-0.00455563
1206992	4	-0.260305	0.013116
1207280	1	-0.0323118	-0.0162082
1207280	2	-0.0572499	-0.0311135
1207280	3	-0.0346063	-0.00462386
1207280	4	-0.0488076	0.0121176
1207299	1	0.120075	-0.0167217
1207299	2	-0.469396	-0.0318066
1207299	3	-0.209029	-0.00550184
1207299	4	0.106849	0.0145819
1207363	1	-0.0147533	-0.016191
1207363	2	-0.0143799	-0.0313356
1207363	3	0.0114484	-0.00300707
1207363	4	-0.0487105	0.0119667
1207950	1	0.948465	-0.0158805
1207950	2	-0.281411	-0.0311158
1207950	3	0.277941	-0.00287462
1207950	4	-0.597568	0.0100435
1208122	1	-0.0181954	-0.0162459
1208122	2	-0.0471363	-0.0320394
1208122	3	0.000415125	-0.00517027
1208122	4	-0.0192973	0.0135658
1208475	1	-0.0211974	-0.0165161
1208475	2	-0.00752873	-0.031391
1208475	3	-0.170076	-0.00480633
1208475	4	-0.00988871	0.0126381
1208781	1	-0.0122414	-0.0165819
1208781	2	-0.0722799	-0.0311683
1208781	3	0.0847057	-0.00418039
1208781	4	0.0185711	0.0135649
1208821	1	0.0214616	-0.016563
1208821	2	-0.262448	-0.0315646
1208821	3	-0.502978	-0.00624184
1208821	4	0.484432	0.0116563
1209159	1	-0.00695741	-0.0161322
1209159	2	-0.0498383	-0.0309603
1209159	3	-0.0924029	-0.00262483
1209159	4	-0.00857142	0.0139494
1209371	1	-0.0980646	-0.0165489
1209371	2	-0.0552783	-0.0320066
1209371	3	-0.10529	-0.00427498
1209371	4	-0.138838	0.0135531
1209411	1	-0.0257939	-0.0164442
1209411	2	-0.0105998	-0.0320333
1209411	3	0.0360525	-0.00239248
1209411	4	0.000355224	0.0142761
1209488	1	-0.0110905	-0.0160804
1209488	2	-0.0637917	-0.030649
1209488	3	0.0711506	-0.00505356
1209488	4	0.220162	0.0124861
1209674	1	-0.0410833	-0.0167901
1209674	2	-0.0305846	-0.0317821
1209674	3	-0.0930211	-0.00427435
1209674	4	0.00684202	0.0163318
1209861	1	-0.0477267	-0.0164439
1209861	2	-0.0734018	-0.0319345
1209861	3	0.0257352	-0.00625741
1209861	4	0.15559	0.0123158
1210281	1	-0.0505217	-0.0158754
1210281	2	-0.026735	-0.0316771
1210281	3	0.0737012	-0.00481858
1210281	4	0.00405395	0.0101425
1210651	1	-0.0798333	-0.0165218
1210651	2	-0.0419734	-0.031665
1210651	3	0.0913081	-0.00362922
1210651	4	-0.0543466	0.0136737
1211776	1	-0.0149262	-0.0162905
1211776	2	-0.0755309	-0.0310039
1211776	3	-0.0598375	-0.00551
1211776	4	0.00111187	0.00968216
1211839	1	-0.027557	-0.0164998
1211839	2	-0.0304775	-0.0317767
1211839	3	-0.0189741	-0.00538376
1211839	4	-0.0807762	0.011377
1211997	1	0.0120474	-0.016244
1211997	2	-0.0932756	-0.0321278
1211997	3	-0.0323931	-0.00417396
1211997	4	0.0883666	0.012671
1212230	1	-0.0177171	-0.016538
1212230	2	-0.0383526	-0.0322456
1212230	3	0.0425979	-0.00359264
1212230	4	0.104	0.0148395
1212250	1	-0.0554593	-0.0164674
1212250	2	-0.0391916	-0.031302
1212250	3	-0.134799	-0.00321693
1212250	4	-0.0709099	0.0150723
1GJM	1	-0.00526209	-0.0166773
1GJM	2	-0.0108537	-0.0322859
1GJM	3	-0.0582349	-0.00341335
1GJM	4	-0.00141203	0.0166433
2023072001-1A	1	0.33049	-0.0162675
2023072001-1A	2	-1.2114	-0.0317882
2023072001-1A	3	-0.226338	-0.00376668
2023072001-1A	4	0.87008	0.0126117
2023072002-1A	1	-0.0265569	-0.0165155
2023072002-1A	2	-0.10006	-0.0306248
2023072002-1A	3	-0.0405659	-0.00390524
2023072002-1A	4	0.034292	0.0138418
2023072003-1A	1	-0.00113859	-0.0161327
2023072003-1A	2	0.141947	-0.031279
2023072003-1A	3	-0.0624083	-0.00375365
2023072003-1A	4	0.726925	0.0108765
2613	1	-0.0367549	-0.0164837
2613	2	-0.0280799	-0.0315741
2613	3	-0.144532	-0.00385115
2613	4	0.0339889	0.0133081
2BT22060700001	1	-0.00459459	-0.0162323
2BT22060700001	2	0.00459765	-0.0326296
2BT22060700001	3	0.102309	-0.00496804
2BT22060700001	4	0.0437933	0.0143641
2BT22060700002	1	-1.40749	-0.0166449
2BT22060700002	2	2.34043	-0.0324034
2BT22060700002	3	-2.65112	-0.00600883
2BT22060700002	4	-5.75015	0.0140849
2BT22060700003	1	-0.154537	-0.0162734
2BT22060700003	2	-0.0820786	-0.0326307
2BT22060700003	3	-0.168772	-0.00503766
2BT22060700003	4	0.0909252	0.0142304
2BT22060700004	1	-0.300301	-0.0165454
2BT22060700004	2	-0.582256	-0.0326548
2BT22060700004	3	0.383219	-0.00611666
2BT22060700004	4	-0.154433	0.0158206
2BT22060700005	1	-0.0370645	-0.0164266
2BT22060700005	2	-0.0264947	-0.0325986
2BT22060700005	3	-0.0375031	-0.00472314
2BT22060700005	4	0.0882268	0.0160413
2BT22060700006	1	-0.347408	-0.0165738
2BT22060700006	2	-0.20528	-0.0323004
2BT22060700006	3	0.614371	-0.00391627
2BT22060700006	4	0.966138	0.0153873
2BT22060700007	1	-0.00946946	-0.0165162
2BT22060700007	2	-0.0277691	-0.0324545
2BT22060700007	3	0.0193056	-0.00431786
2BT22060700007	4	0.0414927	0.015837
2BT22060700008	1	-0.00417758	-0.0165502
2BT22060700008	2	-0.0182115	-0.0318184
2BT22060700008	3	-0.0369993	-0.00506514
2BT22060700008	4	-0.00241752	0.0149227
2BT22060700009	1	-0.0119697	-0.0163865
2BT22060700009	2	-0.0478126	-0.0323355
2BT22060700009	3	-0.000338798	-0.0030063
2BT22060700009	4	0.0237371	0.0160853
2BT22060700010	1	-0.00315469	-0.0162368
2BT22060700010	2	0.0227039	-0.0323119
2BT22060700010	3	0.0616374	-0.00227271
2BT22060700010	4	0.0515292	0.0151873
2BT22060700011	1	-0.00915935	-0.0161377
2BT22060700011	2	-0.0424347	-0.0318113
2BT22060700011	3	-0.0260638	-0.004554
2BT22060700011	4	0.0494255	0.0138969
2BT22060700012	1	-0.00728324	-0.0176237
2BT22060700012	2	-0.00971677	-0.0328985
2BT22060700012	3	0.0108382	-0.00225555
2BT22060700012	4	0.00100621	0.0167922
2BT22060700013	1	-0.0263953	-0.016355
2BT22060700013	2	-0.0183938	-0.0320057
2BT22060700013	3	-0.0269772	-0.00481779
2BT22060700013	4	0.0124545	0.0150655
2BT22060700014	1	-0.00294039	-0.0165654
2BT22060700014	2	-0.020365	-0.0323448
2BT22060700014	3	-0.0274371	-0.00732243
2BT22060700014	4	0.0184291	0.0135136
2BT22060700015	1	-0.0187505	-0.0163511
2BT22060700015	2	-0.0178377	-0.0324713
2BT22060700015	3	0.011651	-0.00447548
2BT22060700015	4	-0.0053433	0.0158776
2BT22060700016	1	0.0019238	-0.0167099
2BT22060700016	2	-0.0315021	-0.0322738
2BT22060700016	3	-0.0488138	-0.00526073
2BT22060700016	4	0.0398787	0.0158283
2BT22060700017	1	-0.0064832	-0.0164081
2BT22060700017	2	-0.021796	-0.0321087
2BT22060700017	3	-0.0205817	-0.00298381
2BT22060700017	4	0.0365187	0.0148396
2BT22060700018	1	-0.0130635	-0.016769
2BT22060700018	2	-0.0308879	-0.0324395
2BT22060700018	3	-0.00874047	-0.0054386
2BT22060700018	4	0.00994575	0.0164547
2BT22060700019	1	-0.00234235	-0.0164348
2BT22060700019	2	-0.0142283	-0.0321773
2BT22060700019	3	0.040747	-0.00513158
2BT22060700019	4	0.0367744	0.0136032
2BT22060700020	1	-0.00586686	-0.0165396
2BT22060700020	2	-0.024174	-0.0327693
2BT22060700020	3	-0.0117005	-0.00455401
2BT22060700020	4	0.0201252	0.0146932
2BT22060700021	1	0.00140394	-0.0162385
2BT22060700021	2	0.0147785	-0.0324638
2BT22060700021	3	-0.0173174	-0.00495382
2BT22060700021	4	0.0113438	0.0134323
2BT22060700022	1	-0.0207379	-0.0165512
2BT22060700022	2	-0.0206372	-0.032131
2BT22060700022	3	-0.00239632	-0.004398
2BT22060700022	4	0.0491218	0.0139485
2BT22060700023	1	-0.00691777	-0.0164629
2BT22060700023	2	-0.0200256	-0.0327225
2BT22060700023	3	-0.012108	-0.00401437
2BT22060700023	4	0.00984842	0.0161045
2BT22060700024	1	0.0018972	-0.016329
2BT22060700024	2	-0.00589757	-0.0317874
2BT22060700024	3	0.0427355	-0.00321341
2BT22060700024	4	0.0502571	0.0123482
2BT22060700025	1	-0.00145381	-0.0163486
2BT22060700025	2	-0.0159653	-0.0308441
2BT22060700025	3	-0.00982926	-0.00435278
2BT22060700025	4	0.00657035	0.0122724
2BT22060700026	1	-0.0117858	-0.0162273
2BT22060700026	2	-0.0195879	-0.0349048
2BT22060700026	3	-0.0144308	-0.00439972
2BT22060700026	4	-0.0395162	0.0135864
2BT22060700027	1	0.00515473	-0.0158863
2BT22060700027	2	-0.0333271	-0.0274668
2BT22060700027	3	-0.0214355	-0.00406966
2BT22060700027	4	0.0287416	0.00890792
2BT22060700028	1	-0.0045495	-0.0163878
2BT22060700028	2	-0.00326052	-0.0315063
2BT22060700028	3	-0.0460016	-0.00248876
2BT22060700028	4	0.0518828	0.0127489
2BT22060700029	1	-0.0107763	-0.0164769
2BT22060700029	2	-0.00528996	-0.0326204
2BT22060700029	3	-0.0107949	-0.00301315
2BT22060700029	4	0.0433042	0.0154234
2BT22060700030	1	-0.00538308	-0.0170236
2BT22060700030	2	-0.0519992	-0.0317453
2BT22060700030	3	-0.0184637	-0.00199356
2BT22060700030	4	0.0159565	0.0127076
2ZDM	1	0.0314482	-0.0163487
2ZDM	2	-0.029093	-0.0321362
2ZDM	3	0.0437	-0.00409446
2ZDM	4	-0.0799161	0.0146507
3hFib	1	-0.00955864	-0.0167042
3hFib	2	0.0255589	-0.0326608
3hFib	3	-0.143135	-0.0039178
3hFib	4	-0.0662671	0.0166417
3LJW	1	-0.00492186	-0.0165466
3LJW	2	0.000171873	-0.0322473
3LJW	3	0.0038814	-0.00307586
3LJW	4	0.0138875	0.0156084
42LDH	1	0.630239	-0.0165109
42LDH	2	0.25323	-0.0325337
42LDH	3	1.27133	-0.00170621
42LDH	4	2.38403	0.0187162
43CJQ	1	-0.0193008	-0.0166742
43CJQ	2	0.0166897	-0.0324947
43CJQ	3	-0.0213026	-0.00534534
43CJQ	4	0.0180022	0.0164363
45LRH	1	-0.00813092	-0.0163934
45LRH	2	0.0310701	-0.0315362
45LRH	3	0.0329559	-0.00247648
45LRH	4	-0.00791676	0.014369
4WQ	1	0.978129	-0.0166589
4WQ	2	0.0676233	-0.0320165
4WQ	3	-0.528594	-0.00430194
4WQ	4	0.970838	0.0147467
56PSL	1	-0.00658803	-0.0166358
56PSL	2	-0.0284895	-0.0318829
56PSL	3	-0.0410595	-0.00351041
56PSL	4	0.0130182	0.0163892
5C3	1	-0.011771	-0.0164182
5C3	2	-0.010636	-0.0328874
5C3	3	-0.0122399	-0.00242429
5C3	4	0.0189514	0.0184062
5CJ	1	0.0098633	-0.016684
5CJ	2	-0.0195859	-0.0328813
5CJ	3	0.0028294	-0.00520477
5CJ	4	-0.0817784	0.015405
6ZLF	1	0.00180435	-0.0161987
6ZLF	2	-0.00463825	-0.0326179
6ZLF	3	-0.0161367	-0.00187673
6ZLF	4	-0.015632	0.0162066
76YXN	1	0.0908023	-0.016669
76YXN	2	-0.0621657	-0.0325968
76YXN	3	0.207222	-0.00405194
76YXN	4	0.364409	0.0177208
77HZH	1	0.0134337	-0.0166364
77HZH	2	0.03509	-0.0324003
77HZH	3	-0.0244074	-0.00402464
77HZH	4	-0.073494	0.0173338
7JZW	1	-0.00800775	-0.0160912
7JZW	2	-0.0229259	-0.0324641
7JZW	3	-0.0990079	-0.00380967
7JZW	4	0.740299	0.0150913
82WXQ	1	0.00360906	-0.0164142
82WXQ	2	-0.026142	-0.031321
82WXQ	3	0.0189921	-0.00169928
82WXQ	4	0.0301201	0.0150467
96WYQ	1	-0.000125643	-0.0163631
96WYQ	2	-0.00875464	-0.0322095
96WYQ	3	-0.00658317	-0.00349945
96WYQ	4	-0.0161958	0.012736
97LYX	1	-0.000178818	-0.0164725
97LYX	2	-0.00490667	-0.0319984
97LYX	3	0.000603042	-0.00227429
97LYX	4	-0.00299568	0.0158338
99LJF	1	-0.000249142	-0.0162973
99LJF	2	-0.0111105	-0.0322561
99LJF	3	-0.0258874	0.00101457
99LJF	4	0.0215912	0.0173765
A140019A	1	0.148784	-0.0164375
A140019A	2	0.171783	-0.0314387
A140019A	3	-1.08164	-0.00347124
A140019A	4	-1.18362	0.01441
A140135	1	0.548466	-0.0162676
A140135	2	0.0385673	-0.0323377
A140135	3	0.563112	-0.00161008
A140135	4	0.581056	0.016341
A140136	1	-3.62805	-0.0160745
A140136	2	-4.52094	-0.0317295
A140136	3	5.33278	-0.00159506
A140136	4	5.77904	0.0118861
A140227A	1	-0.0312552	-0.0160084
A140227A	2	-7.71195e-05	-0.0307747
A140227A	3	-0.0758525	-0.00217621
A140227A	4	0.0747827	0.0115484
A140228A	1	-0.0288973	-0.0167307
A140228A	2	-0.198322	-0.0321885
A140228A	3	0.0207768	-0.00479604
A140228A	4	0.210573	0.0161489
A140417	1	0.282905	-0.0165367
A140417	2	0.36918	-0.0318335
A140417	3	0.00693227	-0.0042708
A140417	4	0.585699	0.0158511
A140418	1	-0.00424322	-0.0165675
A140418	2	-0.0143063	-0.0322138
A140418	3	-0.0144531	-0.00237653
A140418	4	0.0837895	0.0162322
A150001A	1	-0.0188506	-0.0162268
A150001A	2	-0.0214183	-0.0320076
A150001A	3	0.0159453	-0.00232312
A150001A	4	0.0426731	0.0147382
A160212	1	-0.0116293	-0.0102885
A160212	2	-0.00332954	0.0271107
A160212	3	-0.0923087	-0.0138236
A160212	4	-0.00418578	0.0167956
A160221	1	-0.0355292	-0.0164603
A160221	2	-0.0131204	-0.0325195
A160221	3	-0.00366723	-0.00308478
A160221	4	0.0535406	0.017299
A160251	1	0.00608185	-0.0161068
A160251	2	-0.0198576	-0.031934
A160251	3	0.0724529	-0.00124385
A160251	4	0.0400934	0.0152794
A160252	1	0.0636866	-0.0158601
A160252	2	0.0124371	-0.0320515
A160252	3	0.165559	0.000197441
A160252	4	0.29555	0.0158725
A160442A	1	0.0223796	-0.0166429
A160442A	2	-0.0145675	-0.0327552
A160442A	3	-0.096605	-0.0030891
A160442A	4	0.0243155	0.0159434
A160485	1	-0.0433285	-0.0166402
A160485	2	-0.118148	-0.0326822
A160485	3	0.0491878	-0.00374771
A160485	4	0.0464119	0.01599
A160647B	1	0.00507842	-0.0166008
A160647B	2	-0.0251347	-0.0326042
A160647B	3	-0.02226	-0.00431016
A160647B	4	-0.0394704	0.0168738
A160681A	1	-0.00660469	-0.0166835
A160681A	2	0.0274668	-0.0326001
A160681A	3	-0.00880773	-0.0050375
A160681A	4	0.0377302	0.015333
A160688B	1	-0.0177689	-0.0161795
A160688B	2	-0.0340083	-0.0327705
A160688B	3	-0.00251145	-0.00114804
A160688B	4	0.0147061	0.0168614
A160781	1	-0.0142567	-0.0164961
A160781	2	0.027448	-0.0318716
A160781	3	0.0191934	-0.00390738
A160781	4	0.0159774	0.0142225
A180282	1	-0.0182221	-0.015497
A180282	2	-0.123908	-0.029628
A180282	3	0.121363	-0.00104557
A180282	4	0.0601473	0.0139099
A180285	1	-0.0768824	-0.0152554
