ID,优先纳入,PC,ContaminatingSample,IntendedSample
1196256,FIRST,1,-0.0207622,-0.0163232
1196256,FIRST,2,-0.0487587,-0.0325306
1196256,FIRST,3,0.00231701,-0.00526559
1196256,FIRST,4,0.0221366,0.0140328
1196905,FIRST,1,0.00990766,-0.0163375
1196905,FIRST,2,-0.0284231,-0.0314879
1196905,FIRST,3,0.0371909,-0.00297152
1196905,FIRST,4,-0.075215,0.0139823
1197024,FIRST,1,-0.0234152,-0.0164756
1197024,FIRST,2,-0.0542654,-0.0317047
1197024,FIRST,3,-0.0696822,-0.00489955
1197024,FIRST,4,-0.0164783,0.0115235
1199393,FIRST,1,-0.00214834,-0.0164432
1199393,FIRST,2,-0.0340702,-0.0321785
1199393,FIRST,3,-0.0415381,-0.00409725
1199393,FIRST,4,0.0403759,0.0141802
1199524,FIRST,1,1.77237,-0.0165433
1199524,FIRST,2,0.24222,-0.0310831
1199524,FIRST,3,-2.74676,-0.00547687
1199524,FIRST,4,-2.26556,0.014293
1199767,FIRST,1,-0.06813,-0.016416
1199767,FIRST,2,-0.0870259,-0.0313419
1199767,FIRST,3,-0.0214709,-0.0025103
1199767,FIRST,4,-0.102176,0.0150607
1199840,FIRST,1,-0.0299513,-0.0165047
1199840,FIRST,2,0.0592859,-0.0313728
1199840,FIRST,3,-0.043497,-0.00481277
1199840,FIRST,4,0.233629,0.0133665
1200084,FIRST,1,-0.0092198,-0.0164431
1200084,FIRST,2,-0.0324669,-0.0307972
1200084,FIRST,3,0.198548,-0.0041952
1200084,FIRST,4,-0.159853,0.0134369
1200524,FIRST,1,-0.0303683,-0.0162843
1200524,FIRST,2,-0.118639,-0.0313192
1200524,FIRST,3,0.029363,-0.00318142
1200524,FIRST,4,0.472508,0.0135169
1200618,FIRST,1,-0.0281268,-0.0163632
1200618,FIRST,2,-0.0399387,-0.0306608
1200618,FIRST,3,0.00565679,-0.00175483
1200618,FIRST,4,-0.00521252,0.0145515
1200709,FIRST,1,-0.0215087,-0.0163475
1200709,FIRST,2,-0.0104672,-0.0318325
1200709,FIRST,3,0.0100701,-0.00539473
1200709,FIRST,4,-0.0174434,0.0136881
1200900,FIRST,1,-0.0117829,-0.0161487
1200900,FIRST,2,-0.0617001,-0.0311403
1200900,FIRST,3,0.0144054,-0.00420739
1200900,FIRST,4,0.0220498,0.0106589
1201142,FIRST,1,-0.0182856,-0.0164606
1201142,FIRST,2,-0.0358132,-0.0317951
1201142,FIRST,3,-0.000748308,-0.00583602
1201142,FIRST,4,-0.0061829,0.0121234
1201536,FIRST,1,0.00440525,-0.0164535
1201536,FIRST,2,-0.0410627,-0.0310954
1201536,FIRST,3,-0.0377337,-0.00419533
1201536,FIRST,4,0.0372282,0.0137754
1201570,FIRST,1,-0.0201035,-0.0163931
1201570,FIRST,2,-0.0340656,-0.0312198
1201570,FIRST,3,-0.0104077,-0.00533094
1201570,FIRST,4,0.0136527,0.010733
1201606,FIRST,1,-0.0511732,-0.0164946
1201606,FIRST,2,-0.138933,-0.0315873
1201606,FIRST,3,0.0960832,-0.00388196
1201606,FIRST,4,0.0505093,0.0143115
1201631,FIRST,1,-0.0393142,-0.0165152
1201631,FIRST,2,-0.127945,-0.0311639
1201631,FIRST,3,-0.0145443,-0.00431774
1201631,FIRST,4,-0.0592269,0.0148857
1206666,FIRST,1,-0.0641146,-0.0161571
1206666,FIRST,2,0.0155905,-0.0320365
1206666,FIRST,3,-0.0521807,-0.0022029
1206666,FIRST,4,-0.012909,0.0153926
1206844,FIRST,1,-2.35733,-0.0170396
1206844,FIRST,2,-2.46862,-0.0317535
1206844,FIRST,3,2.2966,-0.000323258
1206844,FIRST,4,1.74125,0.012202
1206992,FIRST,1,-0.0128845,-0.0165168
1206992,FIRST,2,-0.126154,-0.0316119
1206992,FIRST,3,-0.112967,-0.00455563
1206992,FIRST,4,-0.260305,0.013116
1207280,FIRST,1,-0.0323118,-0.0162082
1207280,FIRST,2,-0.0572499,-0.0311135
1207280,FIRST,3,-0.0346063,-0.00462386
1207280,FIRST,4,-0.0488076,0.0121176
1207299,FIRST,1,0.120075,-0.0167217
1207299,FIRST,2,-0.469396,-0.0318066
1207299,FIRST,3,-0.209029,-0.00550184
1207299,FIRST,4,0.106849,0.0145819
1207363,FIRST,1,-0.0147533,-0.016191
1207363,FIRST,2,-0.0143799,-0.0313356
1207363,FIRST,3,0.0114484,-0.00300707
1207363,FIRST,4,-0.0487105,0.0119667
1207950,FIRST,1,0.948465,-0.0158805
1207950,FIRST,2,-0.281411,-0.0311158
1207950,FIRST,3,0.277941,-0.00287462
1207950,FIRST,4,-0.597568,0.0100435
1208122,FIRST,1,-0.0181954,-0.0162459
1208122,FIRST,2,-0.0471363,-0.0320394
1208122,FIRST,3,0.000415125,-0.00517027
1208122,FIRST,4,-0.0192973,0.0135658
1208475,FIRST,1,-0.0211974,-0.0165161
1208475,FIRST,2,-0.00752873,-0.031391
1208475,FIRST,3,-0.170076,-0.00480633
1208475,FIRST,4,-0.00988871,0.0126381
1208781,FIRST,1,-0.0122414,-0.0165819
1208781,FIRST,2,-0.0722799,-0.0311683
1208781,FIRST,3,0.0847057,-0.00418039
1208781,FIRST,4,0.0185711,0.0135649
1208821,FIRST,1,0.0214616,-0.016563
1208821,FIRST,2,-0.262448,-0.0315646
1208821,FIRST,3,-0.502978,-0.00624184
1208821,FIRST,4,0.484432,0.0116563
1209159,FIRST,1,-0.00695741,-0.0161322
1209159,FIRST,2,-0.0498383,-0.0309603
1209159,FIRST,3,-0.0924029,-0.00262483
1209159,FIRST,4,-0.00857142,0.0139494
1209371,FIRST,1,-0.0980646,-0.0165489
1209371,FIRST,2,-0.0552783,-0.0320066
1209371,FIRST,3,-0.10529,-0.00427498
1209371,FIRST,4,-0.138838,0.0135531
1209411,FIRST,1,-0.0257939,-0.0164442
1209411,FIRST,2,-0.0105998,-0.0320333
1209411,FIRST,3,0.0360525,-0.00239248
1209411,FIRST,4,0.000355224,0.0142761
1209488,FIRST,1,-0.0110905,-0.0160804
1209488,FIRST,2,-0.0637917,-0.030649
1209488,FIRST,3,0.0711506,-0.00505356
1209488,FIRST,4,0.220162,0.0124861
1209674,FIRST,1,-0.0410833,-0.0167901
1209674,FIRST,2,-0.0305846,-0.0317821
1209674,FIRST,3,-0.0930211,-0.00427435
1209674,FIRST,4,0.00684202,0.0163318
1209861,FIRST,1,-0.0477267,-0.0164439
1209861,FIRST,2,-0.0734018,-0.0319345
1209861,FIRST,3,0.0257352,-0.00625741
1209861,FIRST,4,0.15559,0.0123158
1210281,FIRST,1,-0.0505217,-0.0158754
1210281,FIRST,2,-0.026735,-0.0316771
1210281,FIRST,3,0.0737012,-0.00481858
1210281,FIRST,4,0.00405395,0.0101425
1210651,FIRST,1,-0.0798333,-0.0165218
1210651,FIRST,2,-0.0419734,-0.031665
1210651,FIRST,3,0.0913081,-0.00362922
1210651,FIRST,4,-0.0543466,0.0136737
1211776,FIRST,1,-0.0149262,-0.0162905
1211776,FIRST,2,-0.0755309,-0.0310039
1211776,FIRST,3,-0.0598375,-0.00551
1211776,FIRST,4,0.00111187,0.00968216
1211839,FIRST,1,-0.027557,-0.0164998
1211839,FIRST,2,-0.0304775,-0.0317767
1211839,FIRST,3,-0.0189741,-0.00538376
1211839,FIRST,4,-0.0807762,0.011377
1211997,FIRST,1,0.0120474,-0.016244
1211997,FIRST,2,-0.0932756,-0.0321278
1211997,FIRST,3,-0.0323931,-0.00417396
1211997,FIRST,4,0.0883666,0.012671
1212230,FIRST,1,-0.0177171,-0.016538
1212230,FIRST,2,-0.0383526,-0.0322456
1212230,FIRST,3,0.0425979,-0.00359264
1212230,FIRST,4,0.104,0.0148395
1212250,FIRST,1,-0.0554593,-0.0164674
1212250,FIRST,2,-0.0391916,-0.031302
1212250,FIRST,3,-0.134799,-0.00321693
1212250,FIRST,4,-0.0709099,0.0150723
102YWC,FIRST,1,-0.00720112,-0.0164492
102YWC,FIRST,2,-0.00370795,-0.0332149
102YWC,FIRST,3,-0.00075473,-0.00571943
102YWC,FIRST,4,-0.0388768,0.0159796
107FJW,FIRST,1,-0.00637236,-0.0163705
107FJW,FIRST,2,0.000375547,-0.03262
107FJW,FIRST,3,0.00810602,0.000433125
107FJW,FIRST,4,0.015927,0.0194733
119SZX,FIRST,1,-0.00236715,-0.0167129
119SZX,FIRST,2,-0.0091188,-0.0320698
119SZX,FIRST,3,0.00921103,-0.00417465
119SZX,FIRST,4,-0.00447685,0.015289
1GJM,FIRST,1,-0.00526209,-0.0166773
1GJM,FIRST,2,-0.0108537,-0.0322859
1GJM,FIRST,3,-0.0582349,-0.00341335
1GJM,FIRST,4,-0.00141203,0.0166433
2023072001-1A,FIRST,1,0.33049,-0.0162675
2023072001-1A,FIRST,2,-1.2114,-0.0317882
2023072001-1A,FIRST,3,-0.226338,-0.00376668
2023072001-1A,FIRST,4,0.87008,0.0126117
2023072002-1A,FIRST,1,-0.0265569,-0.0165155
2023072002-1A,FIRST,2,-0.10006,-0.0306248
2023072002-1A,FIRST,3,-0.0405659,-0.00390524
2023072002-1A,FIRST,4,0.034292,0.0138418
2023072003-1A,FIRST,1,-0.00113859,-0.0161327
2023072003-1A,FIRST,2,0.141947,-0.031279
2023072003-1A,FIRST,3,-0.0624083,-0.00375365
2023072003-1A,FIRST,4,0.726925,0.0108765
2BT22060700001,FIRST,1,-0.00459459,-0.0162323
2BT22060700001,FIRST,2,0.00459765,-0.0326296
2BT22060700001,FIRST,3,0.102309,-0.00496804
2BT22060700001,FIRST,4,0.0437933,0.0143641
2BT22060700002,FIRST,1,-1.40749,-0.0166449
2BT22060700002,FIRST,2,2.34043,-0.0324034
2BT22060700002,FIRST,3,-2.65112,-0.00600883
2BT22060700002,FIRST,4,-5.75015,0.0140849
2BT22060700003,FIRST,1,-0.154537,-0.0162734
2BT22060700003,FIRST,2,-0.0820786,-0.0326307
2BT22060700003,FIRST,3,-0.168772,-0.00503766
2BT22060700003,FIRST,4,0.0909252,0.0142304
2BT22060700004,FIRST,1,-0.300301,-0.0165454
2BT22060700004,FIRST,2,-0.582256,-0.0326548
2BT22060700004,FIRST,3,0.383219,-0.00611666
2BT22060700004,FIRST,4,-0.154433,0.0158206
2BT22060700005,FIRST,1,-0.0370645,-0.0164266
2BT22060700005,FIRST,2,-0.0264947,-0.0325986
2BT22060700005,FIRST,3,-0.0375031,-0.00472314
2BT22060700005,FIRST,4,0.0882268,0.0160413
2BT22060700006,FIRST,1,-0.347408,-0.0165738
2BT22060700006,FIRST,2,-0.20528,-0.0323004
2BT22060700006,FIRST,3,0.614371,-0.00391627
2BT22060700006,FIRST,4,0.966138,0.0153873
2BT22060700007,FIRST,1,-0.00946946,-0.0165162
2BT22060700007,FIRST,2,-0.0277691,-0.0324545
2BT22060700007,FIRST,3,0.0193056,-0.00431786
2BT22060700007,FIRST,4,0.0414927,0.015837
2BT22060700008,FIRST,1,-0.00417758,-0.0165502
2BT22060700008,FIRST,2,-0.0182115,-0.0318184
2BT22060700008,FIRST,3,-0.0369993,-0.00506514
2BT22060700008,FIRST,4,-0.00241752,0.0149227
2BT22060700009,FIRST,1,-0.0119697,-0.0163865
2BT22060700009,FIRST,2,-0.0478126,-0.0323355
2BT22060700009,FIRST,3,-0.000338798,-0.0030063
2BT22060700009,FIRST,4,0.0237371,0.0160853
2BT22060700010,FIRST,1,-0.00315469,-0.0162368
2BT22060700010,FIRST,2,0.0227039,-0.0323119
2BT22060700010,FIRST,3,0.0616374,-0.00227271
2BT22060700010,FIRST,4,0.0515292,0.0151873
2BT22060700011,FIRST,1,-0.00915935,-0.0161377
2BT22060700011,FIRST,2,-0.0424347,-0.0318113
2BT22060700011,FIRST,3,-0.0260638,-0.004554
2BT22060700011,FIRST,4,0.0494255,0.0138969
2BT22060700012,FIRST,1,-0.00728324,-0.0176237
2BT22060700012,FIRST,2,-0.00971677,-0.0328985
2BT22060700012,FIRST,3,0.0108382,-0.00225555
2BT22060700012,FIRST,4,0.00100621,0.0167922
2BT22060700013,FIRST,1,-0.0263953,-0.016355
2BT22060700013,FIRST,2,-0.0183938,-0.0320057
2BT22060700013,FIRST,3,-0.0269772,-0.00481779
2BT22060700013,FIRST,4,0.0124545,0.0150655
2BT22060700014,FIRST,1,-0.00294039,-0.0165654
2BT22060700014,FIRST,2,-0.020365,-0.0323448
2BT22060700014,FIRST,3,-0.0274371,-0.00732243
2BT22060700014,FIRST,4,0.0184291,0.0135136
2BT22060700015,FIRST,1,-0.0187505,-0.0163511
2BT22060700015,FIRST,2,-0.0178377,-0.0324713
2BT22060700015,FIRST,3,0.011651,-0.00447548
2BT22060700015,FIRST,4,-0.0053433,0.0158776
2BT22060700016,FIRST,1,0.0019238,-0.0167099
2BT22060700016,FIRST,2,-0.0315021,-0.0322738
2BT22060700016,FIRST,3,-0.0488138,-0.00526073
2BT22060700016,FIRST,4,0.0398787,0.0158283
2BT22060700017,FIRST,1,-0.0064832,-0.0164081
2BT22060700017,FIRST,2,-0.021796,-0.0321087
2BT22060700017,FIRST,3,-0.0205817,-0.00298381
2BT22060700017,FIRST,4,0.0365187,0.0148396
2BT22060700018,FIRST,1,-0.0130635,-0.016769
2BT22060700018,FIRST,2,-0.0308879,-0.0324395
2BT22060700018,FIRST,3,-0.00874047,-0.0054386
2BT22060700018,FIRST,4,0.00994575,0.0164547
2BT22060700019,FIRST,1,-0.00234235,-0.0164348
2BT22060700019,FIRST,2,-0.0142283,-0.0321773
2BT22060700019,FIRST,3,0.040747,-0.00513158
2BT22060700019,FIRST,4,0.0367744,0.0136032
2BT22060700020,FIRST,1,-0.00586686,-0.0165396
2BT22060700020,FIRST,2,-0.024174,-0.0327693
2BT22060700020,FIRST,3,-0.0117005,-0.00455401
2BT22060700020,FIRST,4,0.0201252,0.0146932
2BT22060700021,FIRST,1,0.00140394,-0.0162385
2BT22060700021,FIRST,2,0.0147785,-0.0324638
2BT22060700021,FIRST,3,-0.0173174,-0.00495382
2BT22060700021,FIRST,4,0.0113438,0.0134323
2BT22060700022,FIRST,1,-0.0207379,-0.0165512
2BT22060700022,FIRST,2,-0.0206372,-0.032131
2BT22060700022,FIRST,3,-0.00239632,-0.004398
2BT22060700022,FIRST,4,0.0491218,0.0139485
2BT22060700023,FIRST,1,-0.00691777,-0.0164629
2BT22060700023,FIRST,2,-0.0200256,-0.0327225
2BT22060700023,FIRST,3,-0.012108,-0.00401437
2BT22060700023,FIRST,4,0.00984842,0.0161045
2BT22060700024,FIRST,1,0.0018972,-0.016329
2BT22060700024,FIRST,2,-0.00589757,-0.0317874
2BT22060700024,FIRST,3,0.0427355,-0.00321341
2BT22060700024,FIRST,4,0.0502571,0.0123482
2BT22060700025,FIRST,1,-0.00145381,-0.0163486
2BT22060700025,FIRST,2,-0.0159653,-0.0308441
2BT22060700025,FIRST,3,-0.00982926,-0.00435278
2BT22060700025,FIRST,4,0.00657035,0.0122724
2BT22060700026,FIRST,1,-0.0117858,-0.0162273
2BT22060700026,FIRST,2,-0.0195879,-0.0349048
2BT22060700026,FIRST,3,-0.0144308,-0.00439972
2BT22060700026,FIRST,4,-0.0395162,0.0135864
2BT22060700027,FIRST,1,0.00515473,-0.0158863
2BT22060700027,FIRST,2,-0.0333271,-0.0274668
2BT22060700027,FIRST,3,-0.0214355,-0.00406966
2BT22060700027,FIRST,4,0.0287416,0.00890792
2BT22060700028,FIRST,1,-0.0045495,-0.0163878
2BT22060700028,FIRST,2,-0.00326052,-0.0315063
2BT22060700028,FIRST,3,-0.0460016,-0.00248876
2BT22060700028,FIRST,4,0.0518828,0.0127489
2BT22060700029,FIRST,1,-0.0107763,-0.0164769
2BT22060700029,FIRST,2,-0.00528996,-0.0326204
2BT22060700029,FIRST,3,-0.0107949,-0.00301315
2BT22060700029,FIRST,4,0.0433042,0.0154234
2BT22060700030,FIRST,1,-0.00538308,-0.0170236
2BT22060700030,FIRST,2,-0.0519992,-0.0317453
2BT22060700030,FIRST,3,-0.0184637,-0.00199356
2BT22060700030,FIRST,4,0.0159565,0.0127076
2ZDM,FIRST,1,0.0314482,-0.0163487
2ZDM,FIRST,2,-0.029093,-0.0321362
2ZDM,FIRST,3,0.0437,-0.00409446
2ZDM,FIRST,4,-0.0799161,0.0146507
3hFib,FIRST,1,-0.00955864,-0.0167042
3hFib,FIRST,2,0.0255589,-0.0326608
3hFib,FIRST,3,-0.143135,-0.0039178
